"$15,000 to $19,999",,,,"  2,283 ","  1,418 ","  1,734 ","  1,817 ","  1,769 ","  1,912 ","  1,829 ","1,809"
"$20,000 to $24,999",,,,"  2,578 ","  1,608 ","  1,821 ","  2,012 ","  1,811 ","  1,982 ","  1,873 ","1,767"
"$25,000 to $29,999",,,,"  1,795 ","  1,629 ","  1,106 ","  1,089 ","  1,431 ","  1,430 ","  1,377 ","1,560"
"$30,000 to $34,999",,,,"  1,519 ","  1,478 ","  1,302 ","  1,369 ","  1,420 ","  1,613 ","  1,455 ","1,414"
"$35,000 to $39,999",,,,"  1,253 ","  1,614 ","  1,439 ","  1,433 ","  1,493 ","  1,428 ","  1,346 ","1,435"
"$40,000 to $44,999",,,,  892 ,"  1,303 ","  1,062 ",  998 ,  950 ,  937 ,  975 ,983
"$45,000 to $49,999",,,,  654 ,"  1,092 ",  808 ,  766 ,  940 ,  908 ,  717 ,588
"$50,000 to $59,999",,,,  719 ,"  1,623 ","  1,456 ","  1,362 ","  1,424 ","  1,261 ","  1,309 ","1,358"
"$60,000 to $74,999",,,,  680 ,"  1,327 ","  1,042 ","  1,068 ","  1,144 ","  1,370 ","  1,446 ","1,405"
"$75,000 to $99,999",,,,  329 ,"  1,086 ","  1,102 ","  1,035 ",  957 ,  845 ,  980 ,"1,163"
"$100,000 to $124,999",,,,  101 ,  559 ,  339 ,  370 ,  439 ,  504 ,  731 ,810
"$125,000 to $149,999",,,,  7 ,  118 ,  253 ,  240 ,  220 ,  211 ,  306 ,276
"$150,000 to $199,999",,,,  36 ,  106 ,  83 ,  68 ,  75 ,  109 ,  150 ,242
"$200,000 or more",,,,,  69 ,  80 ,  51 ,  55 ,  64 ,  59 ,57
Median household income,South Lawndale,"$46,152","$46,973","$42,655","$47,734","$34,978","$33,110","$32,450","$31,763","$32,377","$32,704"
,,,,,,,,,,,
31. Lower West Side,,,,,,,,,,,
Total,,"  13,064 ","  13,034 ","  12,143 ","  12,804 ","  12,255 ","  11,997 ","  11,901 ","  11,958 ","  11,836 ","11,947"
"Less than $10,000",,,,"  2,868 ","  1,789 ","  1,212 ","  1,077 ","  1,247 ","  1,401 ","  1,261 ","1,212"
"$10,000 to $14,999",,,,"  1,439 ","  1,313 ",  912 ,  825 ,  741 ,  829 ,  777 ,591
"$15,000 to $19,999",,,,"  1,627 ","  1,379 ","  1,169 ","  1,130 ","  1,011 ",  876 ,  805 ,662
"$20,000 to $24,999",,,,"  1,218 ","  1,291 ",  877 ,  971 ,"  1,021 ","  1,001 ",  941 ,911
"$25,000 to $29,999",,,,"  1,243 ","  1,059 ",  903 ,"  1,006 ",  991 ,  928 ,  831 ,785
"$30,000 to $34,999",,,,"  1,083 ","  1,121 ",  849 ,  875 ,  925 ,  825 ,  864 ,898
"$35,000 to $39,999",,,,  637 ,  893 ,  849 ,  830 ,  626 ,  546 ,  546 ,625
"$40,000 to $44,999",,,,  543 ,  653 ,  865 ,  641 ,  528 ,  693 ,  580 ,589
"$45,000 to $49,999",,,,  438 ,  610 ,  605 ,  571 ,  637 ,  674 ,  604 ,469
"$50,000 to $59,999",,,,  534 ,  778 ,  994 ,  859 ,  992 ,  911 ,  919 ,"1,011"
"$60,000 to $74,999",,,,  375 ,  717 ,"  1,041 ","  1,182 ","  1,154 ","  1,185 ","  1,260 ","1,373"
"$75,000 to $99,999",,,,  86 ,  659 ,  935 ,  971 ,  944 ,"  1,014 ","  1,146 ","1,170"
"$100,000 to $124,999",,,,  33 ,  269 ,  474 ,  424 ,  460 ,  449 ,  543 ,801
"$125,000 to $149,999",,,,  12 ,  85 ,  274 ,  345 ,  285 ,  282 ,  306 ,357
"$150,000 to $199,999",,,,  7 ,  131 ,  192 ,  188 ,  192 ,  223 ,  281 ,238
"$200,000 or more",,,,,  57 ,  104 ,  102 ,  147 ,  121 ,  172 ,255
Median household income,Lower West Side,"$43,784","$39,312","$39,418","$41,004","$38,667","$37,609","$36,476","$37,360","$39,902","$42,322"
,,,,,,,,,,,
32. Loop,,,,,,,,,,,
Total,,"  2,902 ","  3,853 ","  6,785 ","  8,972 ","  14,557 ","  15,649 ","  16,694 ","  18,095 ","  18,572 ","19,216"
"Less than $10,000",,,,  485 ,  930 ,"  1,491 ","  1,432 ","  1,517 ","  1,750 ","  1,687 ","1,557"
"$10,000 to $14,999",,,,  153 ,  195 ,  588 ,  790 ,  784 ,  918 ,  876 ,600
"$15,000 to $19,999",,,,  305 ,  270 ,  226 ,  238 ,  156 ,  225 ,  265 ,256
"$20,000 to $24,999",,,,  328 ,  331 ,  311 ,  245 ,  238 ,  246 ,  292 ,299
"$25,000 to $29,999",,,,  379 ,  241 ,  429 ,  453 ,  414 ,  341 ,  296 ,349
"$30,000 to $34,999",,,,  470 ,  315 ,  239 ,  328 ,  422 ,  350 ,  349 ,296
"$35,000 to $39,999",,,,  544 ,  314 ,  430 ,  370 ,  233 ,  271 ,  191 ,304
"$40,000 to $44,999",,,,  440 ,  477 ,  297 ,  370 ,  517 ,  562 ,  516 ,431
"$45,000 to $49,999",,,,  406 ,  451 ,  418 ,  479 ,  478 ,  485 ,  408 ,437
"$50,000 to $59,999",,,,  654 ,  579 ,  938 ,  933 ,  890 ,"  1,025 ",  984 ,"1,028"
"$60,000 to $74,999",,,,  732 ,  973 ,"  1,617 ","  1,247 ","  1,289 ","  1,125 ","  1,261 ","1,185"
"$75,000 to $99,999",,,,  707 ,"  1,164 ","  1,833 ","  2,076 ","  2,282 ","  2,396 ","  2,351 ","2,564"
"$100,000 to $124,999",,,,  468 ,  719 ,"  1,517 ","  1,908 ","  1,940 ","  1,848 ","  1,998 ","2,263"
"$125,000 to $149,999",,,,  219 ,  535 ,"  1,096 ","  1,160 ","  1,251 ","  1,507 ","  1,462 ","1,629"
"$150,000 to $199,999",,,,  495 ,  727 ,"  1,216 ","  1,547 ","  1,896 ","  2,315 ","  2,842 ","2,726"
"$200,000 or more",,,,,  751 ,"  1,911 ","  2,073 ","  2,387 ","  2,731 ","  2,794 ","3,292"
Median household income,Loop,"$51,125","$36,969","$92,614","$96,189","$83,737","$89,367","$92,227","$95,333","$99,881","$102,700"
,,,,,,,,,,,
33. Near South Side,,,,,,,,,,,
Total,,"  2,914 ","  2,419 ","  2,911 ","  4,684 ","  11,517 ","  12,191 ","  12,599 ","  12,489 ","  13,106 ","13,436"
"Less than $10,000",,,,"  1,768 ","  1,257 ","  1,253 ","  1,105 ",  994 ,  975 ,  835 ,841
"$10,000 to $14,999",,,,  208 ,  332 ,  301 ,  256 ,  390 ,  329 ,  519 ,504
"$15,000 to $19,999",,,,  190 ,  235 ,  344 ,  260 ,  420 ,  426 ,  565 ,523
"$20,000 to $24,999",,,,  208 ,  227 ,  263 ,  318 ,  331 ,  352 ,  311 ,363
"$25,000 to $29,999",,,,  99 ,  132 ,  484 ,  550 ,  691 ,  631 ,  496 ,469
"$30,000 to $34,999",,,,  143 ,  181 ,  355 ,  348 ,  285 ,  269 ,  253 ,146
"$35,000 to $39,999",,,,  61 ,  138 ,  381 ,  350 ,  288 ,  269 ,  128 ,12
"$40,000 to $44,999",,,,  48 ,  177 ,  443 ,  514 ,  590 ,  539 ,  561 ,463
"$45,000 to $49,999",,,,  72 ,  159 ,  377 ,  410 ,  381 ,  328 ,  255 ,261
"$50,000 to $59,999",,,,  40 ,  315 ,  744 ,  766 ,  832 ,  869 ,  712 ,618
"$60,000 to $74,999",,,,  50 ,  351 ,"  1,014 ","  1,328 ","  1,150 ","  1,098 ","  1,242 ","1,362"
"$75,000 to $99,999",,,,  24 ,  325 ,"  1,481 ","  1,247 ","  1,450 ","  1,212 ","  1,319 ","1,509"
"$100,000 to $124,999",,,, - ,  170 ,"  1,232 ","  1,360 ","  1,474 ","  1,483 ","  1,660 ","1,570"
"$125,000 to $149,999",,,, - ,  190 ,  542 ,  573 ,  560 ,  698 ,  940 ,973
"$150,000 to $199,999",,,, - ,  234 ,  959 ,"  1,159 ","  1,013 ","  1,205 ","  1,206 ","1,337"
"$200,000 or more",,,,,  261 ,"  1,344 ","  1,647 ","  1,750 ","  1,806 ","  2,104 ","2,485"
Median household income,Near South Side,"$23,536","$19,237","$13,038","$50,702","$76,656","$77,624","$77,076","$80,582","$88,445","$92,961"
,,,,,,,,,,,
34. Armour Square,,,,,,,,,,,
Total,,"  4,035 ","  4,505 ","  4,109 ","  4,736 ","  5,359 ","  5,228 ","  5,150 ","  5,204 ","  5,148 ","5,192"
"Less than $10,000",,,,"  1,709 ","  1,416 ","  1,222 ","  1,150 ","  1,313 ","  1,264 ","  1,192 ","1,226"
"$10,000 to $14,999",,,,  466 ,  434 ,  861 ,  829 ,  645 ,  604 ,  464 ,437
"$15,000 to $19,999",,,,  303 ,  281 ,  521 ,  400 ,  346 ,  417 ,  331 ,348
"$20,000 to $24,999",,,,  261 ,  396 ,  226 ,  291 ,  360 ,  372 ,  493 ,483
"$25,000 to $29,999",,,,  260 ,  312 ,  252 ,  300 ,  309 ,  294 ,  323 ,369
"$30,000 to $34,999",,,,  192 ,  223 ,  198 ,  193 ,  280 ,  270 ,  308 ,232
"$35,000 to $39,999",,,,  147 ,  191 ,  279 ,  220 ,  190 ,  284 ,  255 ,219
"$40,000 to $44,999",,,,  149 ,  224 ,  185 ,  153 ,  153 ,  165 ,  89 ,91
"$45,000 to $49,999",,,,  150 ,  120 ,  169 ,  73 ,  93 ,  129 ,  157 ,123
"$50,000 to $59,999",,,,  181 ,  250 ,  310 ,  314 ,  271 ,  256 ,  271 ,268
"$60,000 to $74,999",,,,  158 ,  285 ,  330 ,  453 ,  387 ,  387 ,  373 ,327
"$75,000 to $99,999",,,,  74 ,  336 ,  354 ,  404 ,  282 ,  261 ,  322 ,314
"$100,000 to $124,999",,,,  34 ,  115 ,  196 ,  199 ,  175 ,  193 ,  237 ,275
"$125,000 to $149,999",,,,  5 ,  63 ,  130 ,  102 ,  219 ,  188 ,  186 ,272
"$150,000 to $199,999",,,,  20 ,  31 ,  97 ,  86 ,  73 ,  79 ,  102 ,121
"$200,000 or more",,,,,  59 ,  29 ,  61 ,  54 ,  41 ,  45 ,87
Median household income,Armour Square,"$35,256","$32,485","$25,900","$33,609","$23,040","$25,244","$24,512","$25,055","$26,957","$26,223"
,,,,,,,,,,,
35. Douglas,,,,,,,,,,,
Total,,"  14,918 ","  14,319 ","  13,067 ","  10,835 ","  9,023 ","  8,986 ","  9,071 ","  9,276 ","  9,490 ","9,590"
"Less than $10,000",,,,"  5,843 ","  3,271 ","  1,945 ","  1,985 ","  2,208 ","  2,346 ","  2,346 ","2,320"
"$10,000 to $14,999",,,,"  1,128 ",  944 ,  836 ,  752 ,  761 ,  781 ,  818 ,754
"$15,000 to $19,999",,,,"  1,013 ",  636 ,  472 ,  591 ,  507 ,  589 ,  645 ,657
"$20,000 to $24,999",,,,  918 ,  583 ,  549 ,  574 ,  617 ,  691 ,  629 ,584
"$25,000 to $29,999",,,,  850 ,  542 ,  401 ,  285 ,  278 ,  276 ,  349 ,316
"$30,000 to $34,999",,,,  707 ,  652 ,  477 ,  428 ,  325 ,  349 ,  337 ,430
"$35,000 to $39,999",,,,  560 ,  628 ,  441 ,  445 ,  380 ,  368 ,  327 ,304
"$40,000 to $44,999",,,,  480 ,  565 ,  365 ,  517 ,  461 ,  531 ,  551 ,472
"$45,000 to $49,999",,,,  269 ,  390 ,  320 ,  250 ,  334 ,  285 ,  331 ,380
"$50,000 to $59,999",,,,  553 ,  724 ,  767 ,  663 ,  629 ,  625 ,  518 ,555
"$60,000 to $74,999",,,,  377 ,  770 ,  784 ,  947 ,  991 ,  855 ,  960 ,938
"$75,000 to $99,999",,,,  166 ,  500 ,  721 ,  669 ,  710 ,  750 ,  770 ,821
"$100,000 to $124,999",,,,  96 ,  304 ,  386 ,  356 ,  360 ,  300 ,  379 ,399
"$125,000 to $149,999",,,,  39 ,  151 ,  154 ,  197 ,  129 ,  145 ,  116 ,228
"$150,000 to $199,999",,,,  68 ,  66 ,  243 ,  220 ,  248 ,  254 ,  267 ,239
"$200,000 or more",,,,,  109 ,  162 ,  107 ,  133 ,  131 ,  147 ,193
Median household income,Douglas,"$34,330","$27,423","$24,897","$36,680","$35,448","$35,322","$33,656","$30,203","$30,061","$31,764"
,,,,,,,,,,,
36. Oakland,,,,,,,,,,,
